"home_ID","ADDRESS","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","BLOCK","LOT","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE","lat","lon","num_schools","num_food","num_parks","num_subway","neighborhood_ord"
25,"131 WEST 69TH STREET, Manhattan","UPPER WEST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1141,120,10023,1,0,"1","1,808","5,392",1910,1,"A4",7011000,"3/17/20",40.77609525,-73.981208650439,7,1,31,3,8
26,"131 WEST 94TH STREET, Manhattan","UPPER WEST SIDE (79-96)","02 TWO FAMILY DWELLINGS",1225,119,10025,2,0,"2","1,661","4,000",1900,1,"B1",4900000,"4/12/19",40.79221675,-73.9695618,0,1,28,2,8
27,"132 EAST 74TH STREET, Manhattan","UPPER EAST SIDE (59-79)","02 TWO FAMILY DWELLINGS",1408,61,10021,2,0,"2","1,916","5,161",1910,1,"B1",7500000,"7/8/19",40.7717791,-73.9617969122934,0,0,13,3,15
28,"132 WEST 11TH STREET, Manhattan","GREENWICH VILLAGE-WEST","02 TWO FAMILY DWELLINGS",606,45,10011,2,0,"2","2,913","6,600",1900,1,"B9",1.8e+07,"3/5/20",40.7357987,-73.99974475,2,0,25,6,12
29,"132 WEST 81ST STREET, Manhattan","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1211,47,10024,1,0,"1","1,941","6,298",1900,1,"A4",8275000,"1/8/20",40.7836617,-73.9759245450676,4,1,16,2,8
30,"134 EAST 74TH STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1408,59,10021,1,0,"1","2,556","9,050",1901,1,"A7",25250000,"6/20/19",40.7718338571429,-73.9616934761905,0,0,13,3,15
31,"134 EAST 80TH STREET, Manhattan","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1508,159,10075,1,0,"1","1,873","3,340",1901,1,"A4",8668750,"6/25/19",40.7756644,-73.958880870309,0,0,13,1,15
32,"14 EAST 67TH STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1381,61,10065,1,0,"1","4,820","14,240",1905,1,"A7",77100000,"6/4/19",40.76864845,-73.9684809037489,0,0,16,1,15
33,"14 SYLVAN TERRACE, Manhattan","WASHINGTON HEIGHTS LOWER","02 TWO FAMILY DWELLINGS",2109,64,10032,2,0,"2","673","1,425",1899,1,"B2",1589000,"7/2/19",40.8345993,-73.9393253150382,2,0,38,3,3
34,"140 EAST 65TH STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1399,146,10065,1,0,"1","2,008","6,200",1899,1,"A4",9750000,"6/19/19",40.76555975,-73.9648922053204,4,0,27,4,15
35,"142 EAST 38TH STREET, Manhattan","MURRAY HILL","02 TWO FAMILY DWELLINGS",893,62,10016,2,0,"2","1,975","4,000",1901,1,"B1",4080000,"10/18/19",40.74855415,-73.9774630979477,3,0,18,4,9
36,"142 EAST 38TH STREET, Manhattan","MURRAY HILL","02 TWO FAMILY DWELLINGS",893,62,10016,2,0,"2","1,975","4,000",1901,1,"B1",4080000,"10/18/19",40.74855415,-73.9774630979477,3,0,18,4,9
37,"143 EAST 95TH STREET, Manhattan","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1524,16,10128,1,0,"1","1,672","1,929",1920,1,"A9",5050000,"5/30/19",40.7854531,-73.9515455355831,0,6,28,2,15
38,"146 WAVERLY PLACE, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",592,60,10014,1,0,"1","2,158","6,118",1905,1,"A7",17400000,"6/28/19",40.733142,-74.0008924313212,0,0,34,3,12
39,"15 COMMERCE STREET, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",587,65,10014,1,0,"1","840","1,638",1899,1,"A4",6e+06,"6/26/19",40.73185885,-74.0042368702845,2,0,38,4,12
