"query","lat","lon"
"127 WEST 119 STREET, Manhattan",40.8069647,-73.955416
"116 WEST 130TH STREET, Manhattan",40.8111524,-73.9441186582131
"146 WEST 130 STREET, Manhattan",40.8137724,-73.9498821
"125 WEST 129TH STREET, Manhattan",40.810909,-73.9445617838992
"244 WEST 121ST STREET, Manhattan",40.80694135,-73.9519101713045
"238 WEST 132ND STREET, Manhattan",40.8137948,-73.946529615293
"271 WEST 132ND STREET, Manhattan",40.8144125,-73.94709205
"403 MANHATTAN AVENUE, Manhattan",40.80564585,-73.9566195452404
"207 WEST 138TH STREET, Manhattan",40.8176378,-73.9428104180878
"331 CONVENT AVENUE, Manhattan",40.82357985,-73.946654
"271 PLEASANT AVENUE, Manhattan",40.79412265,-73.9341602155734
"1255 PARK AVENUE, Manhattan",40.7871952,-73.9517228
"350 EAST 116TH STREET, Manhattan",40.7960675,-73.9361167352288
"57 EAST 117TH STREET, Manhattan",40.80051255,-73.9435007136238
"106 EAST 101ST STREET, Manhattan",40.7894346,-73.9499292524496
"213 EAST 111TH STREET, Manhattan",40.79462705,-73.9414980688962
"415 EAST 116TH ST, Manhattan",40.79586635,-73.9345221456197
"467 WEST 140TH STREET, Manhattan",40.82197945,-73.9492737492425
"466 WEST 144TH STREET, Manhattan",40.8241763,-73.9477143960033
"389 CONVENT AVENUE, Manhattan",40.82549525,-73.9453698338793
"408 CONVENT AVENUE, Manhattan",40.82636835,-73.9452498490466
"417 CONVENT AVENUE, Manhattan",40.8263377,-73.9447174575447
"420 CONVENT AVENUE, Manhattan",40.8267226,-73.944896
"473 WEST 140TH STREET, Manhattan",40.82205985,-73.9494411737971
"475 WEST 146TH STREET, Manhattan",40.825685,-73.9463715
"415 CONVENT AVENUE, Manhattan",40.8262813,-73.944732136641
"425 CONVENT, Manhattan",40.82665495,-73.9444715666815
"3686 BROADWAY, Manhattan",40.83092345,-73.9467474108369
"457 CONVENT AVENUE, Manhattan",40.82760635,-73.94382875
"522 WEST 149TH STREET, Manhattan",40.8280681,-73.9468694966811
"548 WEST 140TH STREET, Manhattan",40.8227874,-73.952084
"55 ADRIAN AVENUE, Manhattan",40.87732455,-73.9109695130898
"36 VAN CORLEAR PLACE, Manhattan",40.87666695,-73.9109140631405
"36 VAN CORLEAR PLACE, Manhattan",40.87666695,-73.9109140631405
"45 FORT CHARLES PLACE, Manhattan",40.8762742,-73.9101301360503
"41 ADRIAN AVENUE, Manhattan",40.8769411,-73.911475125
"162 W. 228TH ST, Manhattan",40.8774314,-73.909747226875
"18 VAN CORLEAR PLACE, Manhattan",40.8761982,-73.9115285
"52 MARBLE HILL AVENUE, Manhattan",40.87558105,-73.9094897074197
"52 MARBLE HILL AVENUE, Manhattan",40.87558105,-73.9094897074197
"23 MARBLE HILL AVENUE, Manhattan",40.8752526,-73.9106125680147
"12 FORT CHARLES PLACE, Manhattan",40.8755052,-73.9108951995363
"61 MARBLE HILL AVENUE, Manhattan",40.8759918,-73.9095408
"320 EAST 30TH STREET, Manhattan",40.7416704,-73.976803286424
"304 EAST 18TH STREET, Manhattan",40.7344701,-73.982680245156
"513 GRAND STREET, Manhattan",40.7144332,-73.9820795508498
"127 MANHATTAN AVENUE, Manhattan",40.7982717,-73.9620054365927
"115 MANHATTAN AVENUE, Manhattan",40.79783025,-73.9623271
"216 EAST 50TH STREET, Manhattan",40.7553547,-73.97011305
"318 EAST 51ST STREET, Manhattan",40.7550225,-73.967343936001
"1 SUTTON PLACE, Manhattan",40.7573804,-73.9603084
"3 RIVERVIEW TERRACE, Manhattan",40.7579699,-73.9594922099604
"223 EAST 48TH STREET, Manhattan",40.7542413,-73.9706173
"16 SUTTON SQUARE, Manhattan",40.7575869,-73.95955415
"323 EAST 51ST STREET, Manhattan",40.75524285,-73.9670292373932
"318 EAST 53RD STREET, Manhattan",40.7562089,-73.9664785883269
"347 WEST 51ST STREET, Manhattan",40.7638243,-73.9873578869201
"142 EAST 38TH STREET, Manhattan",40.74855415,-73.9774630979477
"142 EAST 38TH STREET, Manhattan",40.74855415,-73.9774630979477
"237 EAST 32ND STREET, Manhattan",40.7439692,-73.9775678229183
"50 SULLIVAN STREET, Manhattan",40.724762,-74.0039155
"30 SULLIVAN STREET, Manhattan",40.7245828333333,-74.0040657083333
"55 WOOSTER STREET, Manhattan",40.72287,-74.0023481
"116 SULLIVAN STREET, Manhattan",40.72612865,-74.0028564419192
"44 MACDOUGAL STREET, Manhattan",40.72719435,-74.0026173386806
"39 CHARLTON STREET, Manhattan",40.7272325,-74.00479575
"57 SULLIVAN STREET, Manhattan",40.724109,-74.0041309
"245 WATER STREET, Manhattan",40.70791295,-74.0022622537276
"39 HARRISON STREET, Manhattan",40.71853105,-74.0110119213667
"232 WEST BROADWAY, Manhattan",40.7193668888889,-74.006326
